Time,N0,Temperature,Aw,pH,Category,Name,Organism,Predict
240.0,4.0,10.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3093555
240.0,4.0,10.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9941837
240.0,4.0,10.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9882689
240.0,4.0,10.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1375623
240.0,4.0,10.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.857898
240.0,4.0,10.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.5520598
240.0,4.0,10.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3580676
240.0,4.0,10.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3179101
240.0,4.0,10.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.0413481
240.0,4.0,10.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.27846667
240.0,4.0,12.5,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.326424
240.0,4.0,12.5,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.942065
240.0,4.0,12.5,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9333633
240.0,4.0,12.5,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1152277
240.0,4.0,12.5,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.8163626
240.0,4.0,12.5,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.5232038
240.0,4.0,12.5,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.2239804
240.0,4.0,12.5,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.1923707
240.0,4.0,12.5,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.9832032
240.0,4.0,12.5,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.24220169
240.0,4.0,15.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.5328832
240.0,4.0,15.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0408247
240.0,4.0,15.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0198567
240.0,4.0,15.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2401254
240.0,4.0,15.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9424399
240.0,4.0,15.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.6478773
240.0,4.0,15.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.2773275
240.0,4.0,15.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.1860175
240.0,4.0,15.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.0025117
240.0,4.0,15.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.16114414
240.0,4.0,17.5,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3822508
240.0,4.0,17.5,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.7407006
240.0,4.0,17.5,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.7041461
240.0,4.0,17.5,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9993507
240.0,4.0,17.5,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.6864736
240.0,4.0,17.5,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3845398
240.0,4.0,17.5,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.89165425
240.0,4.0,17.5,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.8178539
240.0,4.0,17.5,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.7094654
240.0,4.0,17.5,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.03474371
240.0,4.0,20.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1614206
240.0,4.0,20.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3421142
240.0,4.0,20.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3060783
240.0,4.0,20.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.699511
240.0,4.0,20.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3480078
240.0,4.0,20.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.0568933
240.0,4.0,20.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.5863166
240.0,4.0,20.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.563224
240.0,4.0,20.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.2472449
240.0,4.0,20.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,0.2692077
240.0,4.0,22.5,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1185584
240.0,4.0,22.5,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.2458906
240.0,4.0,22.5,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.2024164
240.0,4.0,22.5,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.5784315
240.0,4.0,22.5,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.2287294
240.0,4.0,22.5,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.92113686
240.0,4.0,22.5,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.47759208
240.0,4.0,22.5,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.51895785
240.0,4.0,22.5,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.3565642
240.0,4.0,22.5,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,0.05364053
240.0,4.0,25.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.7211758
240.0,4.0,25.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.7220955
240.0,4.0,25.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.67609435
240.0,4.0,25.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.006459
240.0,4.0,25.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.68059623
240.0,4.0,25.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.397396
240.0,4.0,25.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.013533542
240.0,4.0,25.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.049744535
240.0,4.0,25.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,0.14254855
240.0,4.0,25.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,0.45114917
240.0,4.0,0.0,0.9,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.1337364
240.0,4.0,0.0,0.91,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0724065
240.0,4.0,0.0,0.92,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.0817113
240.0,4.0,0.0,0.93,4.5,Culture medium,Broth,Aeromonas hydrophila,-2.239678
